,Penaeus notialis ,"Penaeus notialis Pérez Farfante, 1967",SPECIES,Penaeidae,Penaeus notialis,100,EXACT
,Penaeus kerathurus ,"Penaeus kerathurus (Forskål, 1775)",SPECIES,Penaeidae,Penaeus kerathurus,100,EXACT
,Penaeus duorarum,"Penaeus duorarum Burkenroad, 1939",SPECIES,Penaeidae,Penaeus duorarum,100,EXACT
,Parapenaeus longirostris ,"Parapenaeus longirostris (Lucas, 1846)",SPECIES,Penaeidae,Parapenaeus longirostris,100,EXACT
,Panulirus regius ,"Panulirus regius De Brito Capello, 1864",SPECIES,Palinuridae,Panulirus regius,100,EXACT
,Raja miraletus ,"Raja miraletus Linnaeus, 1758",SPECIES,Rajidae,Raja miraletus,100,EXACT
,Raja clavata ,"Raja clavata Linnaeus, 1758",SPECIES,Rajidae,Raja clavata,100,EXACT
,Mustelus mustelus ,"Mustelus mustelus (Linnaeus, 1758)",SPECIES,Triakidae,Mustelus mustelus,100,EXACT
,Leptocharias smithii ,"Leptocharias smithii (Müller & Henle, 1839)",SPECIES,Leptochariidae,Leptocharias smithii,100,EXACT
,Stromateus fiatola,"Stromateus fiatola Linnaeus, 1758",SPECIES,Stromateidae,Stromateus fiatola,100,EXACT
,Uranoscopus scaber,"Uranoscopus scaber Linnaeus, 1758",SPECIES,Uranoscopidae,Uranoscopus scaber,100,EXACT
,Uranoscopus cadenati ,"Uranoscopus cadenati Poll, 1959",SPECIES,Uranoscopidae,Uranoscopus cadenati,100,EXACT
,Zeus faber mauritanicus ,"Zeus faber Linnaeus, 1758",SPECIES,Zeidae,Zeus faber,100,EXACT
,Trichiurus lepturus,"Trichiurus lepturus Linnaeus, 1758",SPECIES,Trichiuridae,Trichiurus lepturus,100,EXACT
,Lepidopus candatus,"Lepidopus caudatus (Euphrasen, 1788)",SPECIES,Trichiuridae,Lepidopus caudatus,93,FUZZY
,Stromateus fiatola ,"Stromateus fiatola Linnaeus, 1758",SPECIES,Stromateidae,Stromateus fiatola,100,EXACT
,Campogramma glycos ,"Campogramma glaycos (Lacepède, 1801)",SPECIES,Carangidae,Campogramma glaycos,95,FUZZY
,Decapterus rhonchus,"Decapterus rhonchus (non Geoffroy Saint-Hilaire, 1817)",SPECIES,Carangidae,Decapterus rhonchus,100,EXACT
,Lichia Amia  ,"Lichia Cuvier, 1816",GENUS,Carangidae,Lichia,94,EXACT
,Trachurus trachurus ,"Trachurus trachurus (Linnaeus, 1758)",SPECIES,Carangidae,Trachurus trachurus,100,EXACT
,Sardina Pilchardus ,"Sardina Antipa, 1904",GENUS,Clupeidae,Sardina,93,EXACT
,Sardinella aurita,"Sardinella aurita Valenciennes, 1847",SPECIES,Clupeidae,Sardinella aurita,100,EXACT
,Sardinella maderensis,"Sardinella maderensis (Lowe, 1838)",SPECIES,Clupeidae,Sardinella maderensis,100,EXACT
,Ethmalosa fimbriata                                                        ,"Ethmalosa fimbriata (Bowdich, 1825)",SPECIES,Clupeidae,Ethmalosa fimbriata,100,EXACT
,Conger conger ,"Conger conger (Linnaeus, 1758)",SPECIES,Congridae,Conger conger,100,EXACT
,Engraulis encrasicolus ,"Engraulis encrasicolus (Linnaeus, 1758)",SPECIES,Engraulidae,Engraulis encrasicolus,100,EXACT
,Plectorhynchus mediterraneus,"Plectorhynchus mediterraneus (Guichenot, 1850)",SPECIES,Haemulidae,Plectorhynchus mediterraneus,99,EXACT
,Pomadasys incisus ,"Pomadasys incisus (Bowdich, 1825)",SPECIES,Haemulidae,Pomadasys incisus,100,EXACT
,Pomadasys jubelini ,"Pomadasys jubelini (Cuvier, 1830)",SPECIES,Haemulidae,Pomadasys jubelini,100,EXACT
,Pomadasys rogeri   ,"Pomadasys rogeri (Cuvier, 1830)",SPECIES,Haemulidae,Pomadasys rogeri,99,EXACT
,Merluccius merluccius,"Merluccius merluccius (Linnaeus, 1758)",SPECIES,Merlucciidae,Merluccius merluccius,100,EXACT
,Dicentrarchus punctatus ,"Dicentrarchus punctatus (Bloch, 1792)",SPECIES,Moronidae,Dicentrarchus punctatus,100,EXACT
,Liza aurata ,"Liza aurata (Risso, 1810)",SPECIES,Mugilidae,Liza aurata,100,EXACT
,Mugil sp ,,,,,100,NONE
