family;genus;id;name
FABOIDEAE;LOTUS;80;Lotus glinoides Delile
FABOIDEAE;LOTUS;81;Lotus jolyi Batt.
FABOIDEAE;LUPINUS;82;Lupinus digitatus Forsk.
FABOIDEAE;MEDICAGO;83;Medicago laciniata (L.) Miller
FABOIDEAE;MEDICAGO;84;Medicago anguina ( Delile ) Romero Zarco 
FABOIDEAE;MEDICAGO;85;Medicago polyceratia L.
FABOIDEAE;MEDICAGO;86;Medicago stellata Trautv.
FABOIDEAE;MICROCHARIS 87;Microcharis disjuncta (J.B. Gillett) Schrire
FABOIDEAE;ONONIS;88;Ononis serrata Forskal 
FABOIDEAE;ONONIS;89;Ononis tournefortii Coss.
FABOIDEAE;PTEROCARPUS;90;Pterocarpus erinaceus Poir.
FABOIDEAE;PTEROCARPUS;91;Pterocarpus lucens Lepr. ex Guill. & Perr. subsp. Lucens
FABOIDEAE;REQUIENIA;92;Requienia obcordata (Lam. ex Poir.) DC.
FABOIDEAE;RETAMA;93;Retama sphaerocarpa (L.) Boiss.
FABOIDEAE;RHYNCHOSIA;94;Rhynchosia minima (L.) DC. var. memnonia (Delile) Cooke
FABOIDEAE;RHYNCHOSIA;95;Rhynchosia sublobata (Schum. et Thonn.) Meikle
FABOIDEAE;ROTHIA;96;Rothia hirsuta (Guill. & Perr.) Baker
FABOIDEAE;SESBANIA;97;Sesbania leptocarpa DC.
FABOIDEAE;SESBANIA;98;Sesbania pachycarpa DC. subsp. pachycarpa
FABOIDEAE;SESBANIA;99;Sesbania rostrata Brem. et Oberm.
FABOIDEAE;SESBANIA;100;Sesbania sericea (Willd.) Link.
FABOIDEAE;SESBANIA;101;Sesbania sesban (L.) Merr. subsp. punctata (DC.) Gillet
FABOIDEAE;STYLOSANTHES;102;Stylosanthes erecta P.Beauv.
FABOIDEAE;TEPHROSIA;103;Tephrosia berhautiana Lescot
FABOIDEAE;TEPHROSIA;104;Tephrosia bracteolata Guill. & Perr. var. bracteolate 
FABOIDEAE;TEPHROSIA;105;Tephrosia gracilipes Guill. et Perr.
FABOIDEAE;TEPHROSIA;106;Tephrosia linearis (Willd.) Pers. var. Linearis
FABOIDEAE;TEPHROSIA;107;Tephrosia lupinifolia DC.
FABOIDEAE;TEPHROSIA;108;Tephrosia mossiensis A. Cheval.
FABOIDEAE;TEPHROSIA;109;Tephrosia nubica (Boiss.) Baker subsp. nubica 
FABOIDEAE;TEPHROSIA;110;Tephrosia pedicellata Bak.
FABOIDEAE;TEPHROSIA;111;Tephrosia platycarpa Guill. & Perr.
FABOIDEAE;TEPHROSIA;112;Tephrosia purpurea (L.) Pers. subsp. Leptostachya 
FABOIDEAE;TEPHROSIA;113;Tephrosia uniflora Pers. subsp. uniflora
FABOIDEAE;VIGNA;114;Vigna adenantha (G.F. Mey.) Maréchal, Mascherpa et Stainier
FABOIDEAE;VIGNA;115;Vigna vexillata (L.) Bentham var. angustifolia (Schum. et Thonn.) Bak.
FABOIDEAE;ZORNIA;116;Zornia glochidiata Reichenb. ex DC
FABOIDEAE;ZORNIA;117;Zornia latifolia Sm.
MIMOSOIDEAE;ACACIA;118;Acacia ataxacantha DC
