Allamanda neriifolia ,Hook.,Apocynaceae,,"liane à lait, trompette d'or ou Orelia",Allamanda neriifolia Hook.,SPECIES,Apocynaceae,Allamanda neriifolia,100,EXACT
Allamanda violacea ,Gardn.,Apocynaceae,Allamanda blanchetii A.DC.,,Allamanda violacea Gardn. & Field.,SPECIES,Apocynaceae,Allamanda violacea,100,EXACT
Alocasia korthalsii ,Schott,Araceae,,Allamanda ,Alocasia korthalsii Schott,SPECIES,Araceae,Alocasia korthalsii,100,EXACT
Alocasia lowii ,Hook. f.grandis,Araceae,,,Alocasia lowii Hook.f.,SPECIES,Araceae,Alocasia lowii,100,EXACT
Alocasia macrorhiza ,Schott,Araceae,,Oreille d'âne,Alocasia macrorhiza Schott,SPECIES,Araceae,Alocasia macrorhiza,100,EXACT
Alocasia plumbea ,Van Houtte,Araceae,Alocasia indica Schott metallica,Oreilles d'éléphant géantes,Alocasia plumbea Van Houtte,SPECIES,Araceae,Alocasia plumbea,100,EXACT
Alocasia sanderiana, Bull.,Araceae,,Oreille d'éléphant,Alocasia sanderiana W.Bull,SPECIES,Araceae,Alocasia sanderiana,100,EXACT
Aloe aristata ,Haw,Liliaceae,A. longiaristata Schult. &Schult.f.;A. aristata var. leiophylla Baker; A. aristata var. parviflora Baker ; A. ellenbergii Guillaumin,Oreille d'éléphant,Aloe aristata Haw.,SPECIES,Xanthorrhoeaceae,Aloe aristata,100,EXACT
Aloe brevifolia ,Mill.,Aloaceae/Xanthorrhoeaceae,,Aloès,Aloe brevifolia Mill.,SPECIES,Xanthorrhoeaceae,Aloe brevifolia,100,EXACT
Aloe eru ,Berger ,Aloaceae,Aloe camperi Schweinf.,,Aloe eru A.Berger,SPECIES,Xanthorrhoeaceae,Aloe eru,100,EXACT
Aloe eru ,Berger maculata,Aloaceae,,,Aloe eru A.Berger,SPECIES,Xanthorrhoeaceae,Aloe eru,100,EXACT
Aloe saponaria ,Mill.,Aloaceae,,,Aloe saponaria (Aiton) Haw.,SPECIES,Xanthorrhoeaceae,Aloe saponaria,100,EXACT
Aloe vera ,(L.) Burm.f.,Aloaceae,Aloe vulgaris Lam. ,,Aloe vera (L.) Burm. f.,SPECIES,Xanthorrhoeaceae,Aloe vera,100,EXACT
Aloe vera, L. chinensis,Aloaceae,,,Aloe vera (L.) Burm. f.,SPECIES,Xanthorrhoeaceae,Aloe vera,100,EXACT
