,Guiera senegalensis,Combretaceae,Guiera senegalensis J.F.Gmel.,SPECIES,Combretaceae,Guiera senegalensis,100,EXACT
,Hordum vulgare,Gramineae,Hordeum vulgare L.,SPECIES,Poaceae,Hordeum vulgare,94,FUZZY
,Hyoscyamus muticus,Solanaceae,Hyoscyamus muticus L.,SPECIES,Solanaceae,Hyoscyamus muticus,100,EXACT
,Hyphanea Thebaica,Arecaceae,,,,,100,NONE
,Jatropha chevalieri,Euphorbiaceae,Jatropha chevalieri Beille,SPECIES,Euphorbiaceae,Jatropha chevalieri,100,EXACT
,Lawsonia inermis,Lithraceae,Lawsonia inermis L.,SPECIES,Lythraceae,Lawsonia inermis,100,EXACT
,Leptadenia hastata,Asclepiadaceae,Leptadenia hastata Decne.,SPECIES,Asclepiadaceae,Leptadenia hastata,100,EXACT
,Leptadenia pyrotechnica,Asclepiadaceae,Leptadenia pyrotechnica Decne.,SPECIES,Asclepiadaceae,Leptadenia pyrotechnica,100,EXACT
,Lotus roudaieri,Fabaceae,Lotus roudairei Bonnet,SPECIES,Fabaceae,Lotus roudairei,95,FUZZY
,Maerua crassifolia,Capparidaceae,Maerua crassifolia Forssk.,SPECIES,Capparaceae,Maerua crassifolia,100,EXACT
,Maytenus senegalensis,Celastraceae,Maytenus senegalensis (Lam.) Exell,SPECIES,Celastraceae,Maytenus senegalensis,100,EXACT
,Mentha viridis,Lamiaceae,Mentha viridis L.,SPECIES,Lamiaceae,Mentha viridis,99,EXACT
,Momordica balsamina,Cucurbitaceae,Momordica balsamina L.,SPECIES,Cucurbitaceae,Momordica balsamina,100,EXACT
,Nitraria retusa,Zygophyllaceae,Nitraria retusa Asch.,SPECIES,Zygophyllaceae,Nitraria retusa,100,EXACT
,Nucularia perrini,Chenopodiaceae,Nucularia perrinii Batt.,SPECIES,Chenopodiaceae,Nucularia perrinii,95,FUZZY
,Nymphea lotus,Nympheaceae,Nymphaea lotus L.,SPECIES,Nymphaeaceae,Nymphaea lotus,90,FUZZY
,Oryza sativa,Poaceae,Oryza sativa L.,SPECIES,Poaceae,Oryza sativa,100,EXACT
,Panicum turgidum,Poaceae,Panicum turgidum Forssk.,SPECIES,Poaceae,Panicum turgidum,100,EXACT
,Pennisetum tiphoides,Poaceae,Pennisetum typhoides (Burm. f.) Stapf & C.E.Hubb.,SPECIES,Poaceae,Pennisetum typhoides,87,FUZZY
,Pergularia tomentosa,Asclepiadaceae,Pergularia tomentosa Span.,SPECIES,Apocynaceae,Pergularia tomentosa,100,EXACT
