"basisOfRecord","occurrenceID","catalogNumber","scientificName","nomenclatureCode","family","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","countryCode","locality","observer"
"HumanObservation","urn:MRBIF:ENSN:OCN:00026","26","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.45167","-12.39485","WGS84","MR","Garaouel","Brito JC et al.2011;Joleaud, L. 1933."
"HumanObservation","urn:MRBIF:ENSN:OCN:00027","27","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","17.42817","-12.41987","WGS84","MR","Jreif(=Toueijikjit)","Lluch, P. et al. 2004"
"HumanObservation","urn:MRBIF:ENSN:OCN:00028","28","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.40211","-12.38884","WGS84","MR","Jreif","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00029","29","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.40143","-12.36415","WGS84","MR","E-n-Guinâr","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00030","30","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.18834","-12.24810","WGS84","MR","ElGhâira","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00031","31","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.15248","-12.19912","WGS84","MR","AouînetNanâga","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00032","32","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.07030","-12.20785","WGS84","MR","OummIcheglâne","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00033","33","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.88873","-12.18487","WGS84","MR","Bâfa","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00034","34","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.54746","-12.00959","WGS84","MR","FoumGoussas","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00035","35","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.18484","-12.01206","WGS84","MR","Guidemballa","BritoJCetal.2011"
