Dichanthium foveolatum (Del),Dichanthium foveolatum (Delile) Roberty,SPECIES,Poaceae,Dichanthium foveolatum,100,EXACT
Digitaria  velutina A. Beauv,Digitaria velutina (Forssk.) P.Beauv.,SPECIES,Poaceae,Digitaria velutina,100,EXACT
Digitaria ciliaris (Rets),Digitaria ciliaris (Retz.) Koeler,SPECIES,Poaceae,Digitaria ciliaris,100,EXACT
Digitaria sp ,,,,,100,NONE
Echinochloa  sp ,,,,,100,NONE
Echinochloa colona (L) Link,Echinochloa colona (L.) Link,SPECIES,Poaceae,Echinochloa colona,100,EXACT
Echinochloa sp,,,,,100,NONE
Echinochloa stagnina Retz Beauv,Echinochloa stagnina (Retz.) P.Beauv.,SPECIES,Poaceae,Echinochloa stagnina,100,EXACT
Echinocloa stagnina ,Echinochloa stagnina (Retz.) P.Beauv.,SPECIES,Poaceae,Echinochloa stagnina,95,FUZZY
Eleusine indica (L) Gaertner,Eleusine indica (L.) Gaertn.,SPECIES,Poaceae,Eleusine indica,100,EXACT
Elionurus elegans Kunth,Elionurus elegans Kunth,SPECIES,Poaceae,Elionurus elegans,100,EXACT
Elytrophorus spicatus  A.Camus ,Elytrophorus spicatus (Willd.) A.Camus,SPECIES,Poaceae,Elytrophorus spicatus,100,EXACT
Eragostis SP,Eragrostis Wolf,GENUS,Poaceae,Eragrostis,91,FUZZY
Eragostis ciliaris R.BR,Eragrostis ciliaris (L.) R.Br.,SPECIES,Poaceae,Eragrostis ciliaris,94,FUZZY
Eragostis cilinanensis (All) Lut.,,,,,100,NONE
Eragostis gangetica Stend,Eragrostis gangetica (Roxb.) Steud.,SPECIES,Poaceae,Eragrostis gangetica,95,FUZZY
Eragostis perbella  K. Schum,Eragrostis perbella K.Schum.,SPECIES,Poaceae,Eragrostis perbella,88,FUZZY
Eragostis sp ,,,,,100,NONE
Eragostis tremula ,Eragrostis tremula Hochst. ex Steud.,SPECIES,Poaceae,Eragrostis tremula,87,FUZZY
Eragostis tremula  Hochst ,Eragrostis tremula Hochst. ex Steud.,SPECIES,Poaceae,Eragrostis tremula,87,FUZZY
Eragrostis ciliaris ,Eragrostis ciliaris (L.) R.Br.,SPECIES,Poaceae,Eragrostis ciliaris,100,EXACT
Eragrostis ciliaris R.BR,Eragrostis ciliaris (L.) R.Br.,SPECIES,Poaceae,Eragrostis ciliaris,100,EXACT
Eragrostis diplachnoides  Steu,Eragrostis diplachnoides Steud.,SPECIES,Poaceae,Eragrostis diplachnoides,100,EXACT
Eragrostis tremula Hochst,Eragrostis tremula Hochst. ex Steud.,SPECIES,Poaceae,Eragrostis tremula,100,EXACT
Eremopogens foveolatus ,Eremopogon foveolatus (Delile) Stapf,SPECIES,Poaceae,Eremopogon foveolatus,86,FUZZY
Eremopogens foveolatus  (Del) Stapf,Eremopogon foveolatus (Delile) Stapf,SPECIES,Poaceae,Eremopogon foveolatus,86,FUZZY
Fuirena umbellata Rottb,Fuirena umbellata Rottb.,SPECIES,Cyperaceae,Fuirena umbellata,100,EXACT
Ischaemum rugosum Salisb,Ischaemum rugosum Salisb.,SPECIES,Poaceae,Ischaemum rugosum,100,EXACT
Lasiurus hirsutus  Boiss,Lasiurus hirsutus Boiss.,SPECIES,Poaceae,Lasiurus hirsutus,100,EXACT
Lasiurus sundicus Henrard,Lasiurus scindicus Henrard,SPECIES,Poaceae,Lasiurus scindicus,91,FUZZY
Laspalum sp ,,,,,100,NONE
Latipes senegalensis  Kunth,Latipes senegalensis Kunth,SPECIES,Poaceae,Latipes senegalensis,100,EXACT
Leptochloa malabarica ,Leptochloa malabarica (L.) Veldkamp,SPECIES,Poaceae,Leptochloa malabarica,100,EXACT
Mossonia nivea (Decne) DC ex  Webb,,,,,100,NONE
Moucum lusfidem,,,,,100,NONE
Oryza barthii ,Oryza barthii A.Chev.,SPECIES,Poaceae,Oryza barthii,100,EXACT
Oryza barthii A.chev,Oryza barthii A.Chev.,SPECIES,Poaceae,Oryza barthii,100,EXACT
Pagrostis sp ,,,,,100,NONE
Panicum  sp ,,,,,100,NONE
Panicum anabaplistum,Panicum anabaptistum Steud.,SPECIES,Poaceae,Panicum anabaptistum,94,FUZZY
Panicum anabaptistum  Stapf,Panicum anabaptistum Steud.,SPECIES,Poaceae,Panicum anabaptistum,100,EXACT
Panicum anabaptistum  Steudel,Panicum anabaptistum Steud.,SPECIES,Poaceae,Panicum anabaptistum,100,EXACT
Panicum exile,Panicum exile (Kippist) A.Chev.,SPECIES,Poaceae,Panicum exile,100,EXACT
Panicum laetum,Panicum laetum Kunth,SPECIES,Poaceae,Panicum laetum,100,EXACT
Panicum laetum  kunth ,Panicum laetum Kunth,SPECIES,Poaceae,Panicum laetum,100,EXACT
Panicum sp,,,,,100,NONE
Panicum sp ,,,,,100,NONE
Panicum tergidum ,Panicum L.,GENUS,Poaceae,Panicum,96,HIGHERRANK
Panicum tigidum Forsk,Panicum rigidum Balf. f.,SPECIES,Poaceae,Panicum rigidum,88,FUZZY
Pannisetum sp,,,,,100,NONE
Pannisetum sp,,,,,100,NONE
Papites senegalensis ,,,,,100,NONE
Papopphorum scabrum,Pappophorum scabrum (Lehm.) Kunth,SPECIES,Poaceae,Pappophorum scabrum,91,FUZZY
Paspalum scrobiculatum L.,Paspalum scrobiculatum L.,SPECIES,Poaceae,Paspalum scrobiculatum,100,EXACT
Pennisetim pedicellatum Trin,Pennisetum pedicellatum Trin.,SPECIES,Poaceae,Pennisetum pedicellatum,88,FUZZY
Pennisetum sp ,,,,,100,NONE
Pennisetum glaucum,Pennisetum glaucum (L.) R.Br.,SPECIES,Poaceae,Pennisetum glaucum,100,EXACT
Pennisetum laetum ,Pennisetum elatum Hochst. ex Steud.,SPECIES,Poaceae,Pennisetum elatum,89,FUZZY
Pennisetum mollissimum,Pennisetum mollissimum Hochst.,SPECIES,Poaceae,Pennisetum mollissimum,100,EXACT
Pennisetum sp ,,,,,100,NONE
Pennisetun mollissimum,Pennisetum mollissimum Hochst.,SPECIES,Poaceae,Pennisetum mollissimum,89,FUZZY
Phragmites australis ,Phragmites australis (Cav.) Trin. ex Steud.,SPECIES,Poaceae,Phragmites australis,100,EXACT
Saclarium ravannae L.,Saccharum ravennae (L.) L.,SPECIES,Poaceae,Saccharum ravennae,80,FUZZY
Schizachyrium exil Stapf ,Schizachyrium exile (Hochst.) Pilg.,SPECIES,Poaceae,Schizachyrium exile,95,FUZZY
Schoenefeldia gracilis Kunth,Schoenefeldia gracilis Kunth,SPECIES,Poaceae,Schoenefeldia gracilis,100,EXACT
Setaria verticillata ,Setaria verticillata (L.) P.Beauv.,SPECIES,Poaceae,Setaria verticillata,100,EXACT
Setaria verticillata (L) Beauv.,Setaria verticillata (L.) P.Beauv.,SPECIES,Poaceae,Setaria verticillata,100,EXACT
Sorghum arundinaceum (Desv) Stapf,Sorghum arundinaceum (Desv.) Stapf,SPECIES,Poaceae,Sorghum arundinaceum,100,EXACT
Sorghum gambicum ,Sorghum gambicum Snowden,SPECIES,Poaceae,Sorghum gambicum,100,EXACT
Spartina maritima  Kinth,Spartina maritima (Curtis) Fernald,SPECIES,Poaceae,Spartina maritima,100,EXACT
Spartina maritima (Curtus),Spartina maritima (Curtis) Fernald,SPECIES,Poaceae,Spartina maritima,100,EXACT
Sporbolus sp,,,,,100,NONE
