id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
51678,preservedSpecimen,urn:mrbif:ens:hnm:51678,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,<null>,MR,HNM01518,El Ghaïre,20,12,1989,<null>,<null>
51679,preservedSpecimen,urn:mrbif:ens:hnm:51679,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,<null>,MR,HNM01519,El Ghaïre,20,12,1989,<null>,<null>
51680,preservedSpecimen,urn:mrbif:ens:hnm:51680,Mangifera indica L.,Anacardiaceae,Rindiao,MR,HNM01520,Station Rindiao,17,11,1992,16.1402858146709,-13.5799990026909
51681,preservedSpecimen,urn:mrbif:ens:hnm:51681,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Aioun el Atrouss,MR,HNM01521,Entrée Aioun,25,12,1989,16.5825,-9.584721999999999
51682,preservedSpecimen,urn:mrbif:ens:hnm:51682,Calotropis procera (Ait.) Ait.f.,Asclepiadaceae,Nouakchott,MR,HNM01522,Nouakchott,5,1,1989,18.119444,-16.040556
51683,preservedSpecimen,urn:mrbif:ens:hnm:51683,Calotropis procera (Ait.) Ait.f.,Asclepiadaceae,<null>,MR,HNM01523,Lekhdheyratt,9,1,1989,<null>,<null>
51684,preservedSpecimen,urn:mrbif:ens:hnm:51684,Caralluma retrospiciens Ehrenb.,Asclepiadaceae,Aleg,MR,HNM01524,Carrefour Aleg - Boghé,10,1,1989,17.014444,-13.961667
51685,preservedSpecimen,urn:mrbif:ens:hnm:51685,Caralluma sp.,Asclepiadaceae,<null>,MR,HNM01525,<null>,<null>,<null>,<null>,<null>,<null>
51686,preservedSpecimen,urn:mrbif:ens:hnm:51686,Caralluma retrospiciens Ehrenb.,Asclepiadaceae,<null>,MR,HNM01526,Souve,11,12,1993,<null>,<null>
51687,preservedSpecimen,urn:mrbif:ens:hnm:51687,Glossonema boveanum Decne.,Asclepiadaceae,Nouakchott,MR,HNM01527,143-145 km à l'est de Nouakchott,18,10,1990,18.119444,-16.040556
51688,preservedSpecimen,urn:mrbif:ens:hnm:51688,Leptadenia hastata (Pers.) Decne.,Asclepiadaceae,Timbedra,MR,HNM01528,50 km à l'est de Timbédra,9,1,1989,16.181944,-8.104722000000001
51689,preservedSpecimen,urn:mrbif:ens:hnm:51689,Leptadenia hastata (Pers.) Decne.,Asclepiadaceae,Rindiao,MR,HNM01529,Station Rindiao,17,11,1992,16.1402858146709,-13.5799990026909
51690,preservedSpecimen,urn:mrbif:ens:hnm:51690,Leptadenia hastata (Pers.) Decne.,Asclepiadaceae,Billaouar,MR,HNM01530,Environ Billewar,10,1,1989,16.478333,-10.936389
51691,preservedSpecimen,urn:mrbif:ens:hnm:51691,Pergularia tomentosa L.,Asclepiadaceae,<null>,MR,HNM01531,<null>,<null>,<null>,<null>,<null>,<null>
51692,preservedSpecimen,urn:mrbif:ens:hnm:51692,Pergularia tomentosa L.,Asclepiadaceae,Tourarine,MR,HNM01532,Tourarine,8,5,1992,19.966667,-14.733333
51693,preservedSpecimen,urn:mrbif:ens:hnm:51693,Pergularia tomentosa L.,Asclepiadaceae,Akjoujt,MR,HNM01533,Environ 20 km au nord d'Akjoujt,9,5,1992,19.696944,-14.416389
51694,preservedSpecimen,urn:mrbif:ens:hnm:51694,Pergularia tomentosa L.,Asclepiadaceae,Akjoujt,MR,HNM01534,environ  40 km au nord d'Akjoujt,9,5,1992,19.696944,-14.416389
51695,preservedSpecimen,urn:mrbif:ens:hnm:51695,Indéterminé : indéterminée,Indéterminé,Moundi,MR,HNM01535,Forêt de Moundi,21,11,92,16.6912067074356,-14.0313772787494
51696,preservedSpecimen,urn:mrbif:ens:hnm:51696,Indéterminé : indéterminée,Indéterminé,Moundi,MR,HNM01536,Forêt de Moundi,21,11,92,16.6912067074356,-14.0313772787494
51697,preservedSpecimen,urn:mrbif:ens:hnm:51697,Avicennia africana P.Beauv.,Avicenniaceae,Banc d' Arguin,MR,HNM01537,Niroumi - Tidra (PNBA),13,12,1992,20.198056,-16.5475
51698,preservedSpecimen,urn:mrbif:ens:hnm:51698,Adansonia digitata L.,Bombacaceae,Zrafie,MR,HNM01538,Zrafié ou Zraviya,7,1,1989,16.483333,-10.716667
51699,preservedSpecimen,urn:mrbif:ens:hnm:51699,Adansonia digitata L.,Bombacaceae,Aioun el Atrouss,MR,HNM01539,Baghdad (ouest d'Aioun),7,1,1989,16.5825,-9.584721999999999
51700,preservedSpecimen,urn:mrbif:ens:hnm:51700,Adansonia digitata L.,Bombacaceae,Zrafie,MR,HNM01540,Zrafié ou Zraviya,22,12,1989,16.483333,-10.716667
51701,preservedSpecimen,urn:mrbif:ens:hnm:51701,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM01541,Kankossa,22,11,1992,16.016667,-11.533333
51702,preservedSpecimen,urn:mrbif:ens:hnm:51702,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM01542,Kankossa,22,11,1992,16.016667,-11.533333
51703,preservedSpecimen,urn:mrbif:ens:hnm:51703,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM01543,Kankossa,22,11,1992,16.016667,-11.533333
51704,preservedSpecimen,urn:mrbif:ens:hnm:51704,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Aioun el Atrouss,MR,HNM01544,Entrée Aioun,25,12,1989,16.5825,-9.584721999999999
51705,preservedSpecimen,urn:mrbif:ens:hnm:51705,Salvia aegyptiaca L.,Labiatae,Amsaga,MR,HNM01545,Amsaga,9,5,1992,20.116667,-14.166667
51706,preservedSpecimen,urn:mrbif:ens:hnm:51706,Acacia tortilis (Forssk.) Hayne var. raddiana (Savi) Brenan,Leguminosae-Mimosoideae,Boutilimit,MR,HNM01546,Boutilimit,8,8,1992,17.515556,-14.772778
51707,preservedSpecimen,urn:mrbif:ens:hnm:51707,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Jeder el Mohguene,MR,HNM01547,Jeder el Mohguene,<null>,<null>,<null>,16.510278,-15.654444
51708,preservedSpecimen,urn:mrbif:ens:hnm:51708,Acacia albida Delile,Leguminosae-Mimosoideae,Egjert,MR,HNM01548,Egjert,24,12,1989,16.6286111,9.4408333
