id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
50160,preservedSpecimen,urn:mrbif:ens:hnm:50160,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00011,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50163,preservedSpecimen,urn:mrbif:ens:hnm:50163,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00012,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50164,preservedSpecimen,urn:mrbif:ens:hnm:50164,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00013,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50165,preservedSpecimen,urn:mrbif:ens:hnm:50165,Adiantum capillus-veneris L.,Adiantaceae,Ain Ehl Taya,MR,HNM00001,Tergit,27,3,2010,20.2658333,13.0902778
50166,preservedSpecimen,urn:mrbif:ens:hnm:50166,Amaranthus graecizans L.,Amaranthaceae,Effam Likhdheirat,MR,HNM00010,Tamourt Bougari,23,8,2008,16.5411111,-10.77
50167,preservedSpecimen,urn:mrbif:ens:hnm:50167,Alternanthera sessilis (L.) DC.,Amaranthaceae,Nbeika,MR,HNM00009,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50168,preservedSpecimen,urn:mrbif:ens:hnm:50168,Alternanthera sessilis (L.) DC.,Amaranthaceae,Nbeika,MR,HNM00014,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50169,preservedSpecimen,urn:mrbif:ens:hnm:50169,Phoenix dactylifera Linn.,Palmae,Kankossa,MR,HNM00008,agmamine 1,17,10,2009,16.016667,-11.533333
50170,preservedSpecimen,urn:mrbif:ens:hnm:50170,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00007,Dar Edebaye,14,5,2008,17.032222,-10.9625
50171,preservedSpecimen,urn:mrbif:ens:hnm:50171,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00002,Dar Edebaye,14,5,2008,17.032222,-10.9625
50172,preservedSpecimen,urn:mrbif:ens:hnm:50172,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00015,Dar Edebaye,14,5,2008,17.032222,-10.9625
50173,preservedSpecimen,urn:mrbif:ens:hnm:50173,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00016,Dar Edebaye,14,5,2008,17.032222,-10.9625
50174,preservedSpecimen,urn:mrbif:ens:hnm:50174,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Selibaby,MR,HNM00006,Semakande au sud de Sélibaby,3,12,2009,15.158945880535,-12.1828970609949
50175,preservedSpecimen,urn:mrbif:ens:hnm:50175,Leptadenia hastata (Pers.) Decne.,Asclepiadaceae,KeurMacene,MR,HNM00017,PND,18,3,2009,16.538477,-16.214909
50176,preservedSpecimen,urn:mrbif:ens:hnm:50176,Aristida funiculata Trin. & Rupr.,Gramineae,Kiffa,MR,HNM00018,Tahmeire.Sortie Sud de Kiffa sur la route de Kankossa,9,9,2008,16.5463889,-11.4025
50177,preservedSpecimen,urn:mrbif:ens:hnm:50177,Pandiaka angustifolia (Vahl) Hepper,Amaranthaceae,Tektake,MR,HNM00019,Falaise  del'Assaba,10,9,2008,15.5880556,-11.9319444
50178,preservedSpecimen,urn:mrbif:ens:hnm:50178,Amaranthus graecizans L.,Amaranthaceae,Effam Likhdheirat,MR,HNM00020,Tamourt Bougari,23,8,2008,16.5402778,-10795
50179,preservedSpecimen,urn:mrbif:ens:hnm:50179,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00021,Zneigui,26,11,2007,15125,12.2783333
50180,preservedSpecimen,urn:mrbif:ens:hnm:50180,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00022,Zneigui,26,11,2007,15125,12.2783333
50181,preservedSpecimen,urn:mrbif:ens:hnm:50181,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00023,Zneigui,26,11,2007,15125,12.2783333
50182,preservedSpecimen,urn:mrbif:ens:hnm:50182,Aerva javanica (Burm.) Juss. ex Schult.,Amaranthaceae,Egjert,MR,HNM00024,Egjert,23,8,2008,16.6286111,9.4408333
50183,preservedSpecimen,urn:mrbif:ens:hnm:50183,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00025,"Zneigui, oued",26,11,2007,11125,-12.2783333
50184,preservedSpecimen,urn:mrbif:ens:hnm:50184,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00026,oued Moudji,26,11,2007,15.0344444,-12.3011111
50185,preservedSpecimen,urn:mrbif:ens:hnm:50185,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00027,oued Moudji,26,11,2007,15.0344444,-12.3011111
50186,preservedSpecimen,urn:mrbif:ens:hnm:50186,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00028,oued Moudji,26,11,2007,15.0344444,-12.3011111
50187,preservedSpecimen,urn:mrbif:ens:hnm:50187,Achyranthes aspera L.,Amaranthaceae,Twil,MR,HNM00029,Achweyiv,8,9,2007,15.6041667,10.2208333
50188,preservedSpecimen,urn:mrbif:ens:hnm:50188,Achyranthes aspera L.,Amaranthaceae,Twil,MR,HNM00030,Achweyiv,8,9,2007,15.6041667,10.2208333
50189,preservedSpecimen,urn:mrbif:ens:hnm:50189,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00031,oued Moudji,26,11,2007,15.0344444,-12.3011111
50190,preservedSpecimen,urn:mrbif:ens:hnm:50190,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00032,"Zneigui, oued",26,11,2007,11125,-12.2783333
50191,preservedSpecimen,urn:mrbif:ens:hnm:50191,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00033,"Zneigui, oued",26,11,2007,11125,-12.2783333
50192,preservedSpecimen,urn:mrbif:ens:hnm:50192,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00034,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
50193,preservedSpecimen,urn:mrbif:ens:hnm:50193,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00035,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
50194,preservedSpecimen,urn:mrbif:ens:hnm:50194,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00036,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
50195,preservedSpecimen,urn:mrbif:ens:hnm:50195,Mangifera indica L.,Anacardiaceae,KeurMacene,MR,HNM00037,PND,28,11,2007,16.538477,-16.214909
50196,preservedSpecimen,urn:mrbif:ens:hnm:50196,Strophanthus gratus (Hook.) Franch.,Apocynaceae,Selibaby,MR,HNM00038,oued Moudji,26,11,2007,15.04,-12.3002778
50197,preservedSpecimen,urn:mrbif:ens:hnm:50197,Strophanthus gratus (Hook.) Franch.,Apocynaceae,Selibaby,MR,HNM00039,oued Moudji,26,11,2007,15.04,-12.3002778
50198,preservedSpecimen,urn:mrbif:ens:hnm:50198,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Kobenni,MR,HNM00040,Entre Kobenni et Traydat,25,11,2007,15.817222,-9.365278
50199,preservedSpecimen,urn:mrbif:ens:hnm:50199,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Kobenni,MR,HNM00041,Entre Kobenni et Traydat,25,11,2007,15.817222,-9.365278
50200,preservedSpecimen,urn:mrbif:ens:hnm:50200,Atractylis aristata Batt,Compositae,Zouerate,MR,HNM00042,Limhouedat,18,12,2009,22.688333,-12.459167
50201,preservedSpecimen,urn:mrbif:ens:hnm:50201,Atractylis aristata Batt,Compositae,Zouerate,MR,HNM00043,Limhouedat,18,12,2009,22.688333,-12.459167
50202,preservedSpecimen,urn:mrbif:ens:hnm:50202,Bidens engleri Schultz.,Compositae,Twil,MR,HNM00044,Achweyiv,8,9,2007,15.6041667,-10.2041667
50203,preservedSpecimen,urn:mrbif:ens:hnm:50203,Pulicaria incisa Lam subsp. candolleansis Gamal-Edin,Asteraceae,Zouerate,MR,HNM00045,Limhouedat,12,12,2009,22.8141667,-12.3669444
50205,preservedSpecimen,urn:mrbif:ens:hnm:50205,Pulicaria incisa Lam subsp. candolleansis Gamal-Edin,Asteraceae,Zouerate,MR,HNM00047,Limhouedat,12,12,2009,22.8141667,-12.3669444
50206,preservedSpecimen,urn:mrbif:ens:hnm:50206,Pulicaria incisa Lam subsp. candolleansis Gamal-Edin,Asteraceae,Zouerate,MR,HNM00046,Limhouedat,12,12,2009,22.8141667,-12.3669444
50207,preservedSpecimen,urn:mrbif:ens:hnm:50207,Pulicaria mauritanica Coss.,Asteraceae,Zouerate,MR,HNM00048,Limhouedat,18,12,2009,22.688333,-12.459167
50208,preservedSpecimen,urn:mrbif:ens:hnm:50208,Gisekia pharnacioides L. var. congesta (Moq.) Oliv.,Asteraceae,Atar,MR,HNM00049,Atar,21,12,2009,20.5875,-13.0408333
50209,preservedSpecimen,urn:mrbif:ens:hnm:50209,Asphodelus tenuifolius Cav.,Liliaceae,Zouerate,MR,HNM00050,Limhouedat,18,12,2009,22.8141667,-12.3669444
50210,preservedSpecimen,urn:mrbif:ens:hnm:50210,Cotula cinerea Del.,Compositae,Zouerate,MR,HNM00051,Limhouedat,12,12,2009,22.688333,-12.459167
50211,preservedSpecimen,urn:mrbif:ens:hnm:50211,Cotula cinerea Del.,Compositae,Zouerate,MR,HNM00052,Limhouedat,12,12,2009,22.688333,-12.459167
50212,preservedSpecimen,urn:mrbif:ens:hnm:50212,Cotula cinerea Del.,Compositae,Zouerate,MR,HNM00053,Limhouedat,12,12,2009,22.688333,-12.459167
50213,preservedSpecimen,urn:mrbif:ens:hnm:50213,Launaea arborescens (Batt.) Murb.,Asteraceae,Zouerate,MR,HNM00054,Limhouedat,18,12,2009,22.688333,-12.459167
50214,preservedSpecimen,urn:mrbif:ens:hnm:50214,Launaea arborescens (Batt.) Murb.,Asteraceae,Zouerate,MR,HNM00055,Limhouedat,18,12,2009,22.688333,-12.459167
50215,preservedSpecimen,urn:mrbif:ens:hnm:50215,Launaea arborescens (Batt.) Murb.,Asteraceae,Zouerate,MR,HNM00056,Limhouedat,18,12,2009,22.688333,-12.459167
50216,preservedSpecimen,urn:mrbif:ens:hnm:50216,Avicennia africana P.Beauv.,Avicenniaceae,KeurMacene,MR,HNM00057,PND,19,3,2009,16.538477,-16.214909
50217,preservedSpecimen,urn:mrbif:ens:hnm:50217,Heliotropium strigosum Willd.,Boraginaceae,Kiffa,MR,HNM00058,Tahmeire.Sortie Sud de Kiffa sur la route de Kankossa,9,9,2008,16.549444,-11.409167
50218,preservedSpecimen,urn:mrbif:ens:hnm:50218,Heliotropium ramosissimum (Lehm.) Sieber ex DC.,Boraginaceae,Kiffa,MR,HNM00059,Tahmeire.Sortie Sud de Kiffa sur la route de Kankossa,9,9,2008,16.5463889,-11.4025
50219,preservedSpecimen,urn:mrbif:ens:hnm:50219,Commiphora africana (A. Rich.) Engl.,Burseraceae,KeurMacene,MR,HNM00060,PND,19,3,2009,16.538477,-16.214909
50220,preservedSpecimen,urn:mrbif:ens:hnm:50220,Schouwia purpurea (Forssk.) Schweinf. var. schimperi Jaub. & Spach,Cruciferae,Ain Ehl Taya,MR,HNM00061,Tergit,27,3,2010,20.2658333,13.0902778
50221,preservedSpecimen,urn:mrbif:ens:hnm:50221,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM00003,Bord de la mare de Kankossa,15,10,2009,15.9383333,-11.5222222
50222,preservedSpecimen,urn:mrbif:ens:hnm:50222,Cordia sinensis Lam.,Boraginaceae,Bouli,MR,HNM00005,Bouli,27,11,2007,15.3175291259776,-11.8009519939166
50223,preservedSpecimen,urn:mrbif:ens:hnm:50223,Cordia sinensis Lam.,Boraginaceae,Bouli,MR,HNM00062,Bouli,27,11,2007,15.3175291259776,-11.8009519939166
50224,preservedSpecimen,urn:mrbif:ens:hnm:50224,Cordia sinensis Lam.,Boraginaceae,Bouli,MR,HNM00063,Bouli,27,11,2007,15.3175291259776,-11.8009519939166
50225,preservedSpecimen,urn:mrbif:ens:hnm:50225,Cordia sinensis Lam.,Boraginaceae,Bouli,MR,HNM00064,Bouli,27,11,2007,15.3175291259776,-11.8009519939166
50226,preservedSpecimen,urn:mrbif:ens:hnm:50226,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM00065,Bord de la mare de Kankossa,15,10,2009,15.9383333,-11.5222222
50227,preservedSpecimen,urn:mrbif:ens:hnm:50227,Ceiba pentandra (L.) Gaertn.,Bombacaceae,Kankossa,MR,HNM00066,Bord de la mare de Kankossa,15,10,2009,15.9383333,-11.5222222
50228,preservedSpecimen,urn:mrbif:ens:hnm:50228,Heliotropium strigosum Willd.,Boraginaceae,Zouerate,MR,HNM00067,Limhouedat,18,12,2009,22.8141667,-12.3669444
50229,preservedSpecimen,urn:mrbif:ens:hnm:50229,Heliotropium supinum L.,Boraginaceae,Toulel,MR,HNM00068,Diacre,25,11,2007,15.3381768475773,-12.8247941055114
50230,preservedSpecimen,urn:mrbif:ens:hnm:50230,Heliotropium supinum L.,Boraginaceae,Toulel,MR,HNM00069,Diacre,25,11,2007,15.3381768475773,-12.8247941055114
50231,preservedSpecimen,urn:mrbif:ens:hnm:50231,Schouwia thebaica Webb,Cruciferae,Atar,MR,HNM00070,Terwen,21,12,2009,20.427222,-13065
50232,preservedSpecimen,urn:mrbif:ens:hnm:50232,Eremobium aegyptiacum (Spreng.) Aschers.ex Boiss. subsp. longisiliquum (Coss.) Maire,Cruciferae,Atar,MR,HNM00071,Terwen,21,12,2009,20.5541667,-13.0408333
50233,preservedSpecimen,urn:mrbif:ens:hnm:50233,Eremobium aegyptiacum (Spreng.) Aschers.ex Boiss. subsp. longisiliquum (Coss.) Maire,Cruciferae,Atar,MR,HNM00072,Terwen,21,12,2009,20.5541667,-13.0408333
50234,preservedSpecimen,urn:mrbif:ens:hnm:50234,Farsetia aegyptiaca Turra,Cruciferae,Zouerate,MR,HNM00073,Limhouedat,18,12,2009,22.688333,-12.459167
50235,preservedSpecimen,urn:mrbif:ens:hnm:50235,Farsetia aegyptiaca Turra,Cruciferae,Zouerate,MR,HNM00074,Limhouedat,18,12,2009,22.688333,-12.459167
50236,preservedSpecimen,urn:mrbif:ens:hnm:50236,Farsetia aegyptiaca Turra,Cruciferae,Zouerate,MR,HNM00075,Limhouedat,18,12,2009,22.688333,-12.459167
50237,preservedSpecimen,urn:mrbif:ens:hnm:50237,Morettia,Cruciferae,Nbeika,MR,HNM00076,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50238,preservedSpecimen,urn:mrbif:ens:hnm:50238,Morettia,Cruciferae,Nbeika,MR,HNM00077,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50239,preservedSpecimen,urn:mrbif:ens:hnm:50239,Morettia,Cruciferae,Nbeika,MR,HNM00078,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50240,preservedSpecimen,urn:mrbif:ens:hnm:50240,Morettia canescens Boiss.,Cruciferae,Zouerate,MR,HNM00079,Limhouedat,18,12,2009,22.688333,-12.459167
50241,preservedSpecimen,urn:mrbif:ens:hnm:50241,Morettia canescens Boiss.,Cruciferae,Zouerate,MR,HNM00080,Limhouedat,18,12,2009,22.688333,-12.459167
50242,preservedSpecimen,urn:mrbif:ens:hnm:50242,Morettia canescens Boiss.,Cruciferae,Zouerate,MR,HNM00081,Limhouedat,18,12,2009,22.688333,-12.459167
50243,preservedSpecimen,urn:mrbif:ens:hnm:50243,Schouwia thebaica Webb,Cruciferae,Zouerate,MR,HNM00082,Limhouedat,17,12,2009,22.688333,-12.459167
50244,preservedSpecimen,urn:mrbif:ens:hnm:50244,Schouwia thebaica Webb,Cruciferae,Zouerate,MR,HNM00083,Limhouedat,17,12,2009,22.688333,-12.459167
50245,preservedSpecimen,urn:mrbif:ens:hnm:50245,Schouwia thebaica Webb,Cruciferae,Zouerate,MR,HNM00084,Limhouedat,17,12,2009,22.688333,-12.459167
50246,preservedSpecimen,urn:mrbif:ens:hnm:50246,Eremobium eagyptiacum (Spreng.) Hochr.,Cruciferae,Selibabi,MR,HNM00085,Environ de Triyeme,4,12,2009,15.34,-12.2266667
50247,preservedSpecimen,urn:mrbif:ens:hnm:50247,Eremobium aegyptiacum (Spreng.) Aschers.ex Boiss. subsp. longisiliquum (Coss.) Maire,Cruciferae,Atar,MR,HNM00086,Terwen,21,12,2009,20.5541667,-13.0408333
50248,preservedSpecimen,urn:mrbif:ens:hnm:50248,Commiphora africana (A. Rich.) Engl.,Burseraceae,Selibabi,MR,HNM00087,Environ de Triyeme,4,12,2009,15.34,-12.2266667
50249,preservedSpecimen,urn:mrbif:ens:hnm:50249,Commiphora africana (A. Rich.) Engl.,Burseraceae,Kobenni,MR,HNM00088,Entre axe Aioun-Kobenni et Toueimratt,25,11,2007,15.817222,-9.365278
50250,preservedSpecimen,urn:mrbif:ens:hnm:50250,Commiphora africana (A. Rich.) Engl.,Burseraceae,Kobenni,MR,HNM00089,Entre axe Aioun-Kobenni et Toueimratt,25,11,2007,15.817222,-9.365278
50251,preservedSpecimen,urn:mrbif:ens:hnm:50251,Cissus quadrangularis L.,Vitaceae,KeurMassene,MR,HNM00090,PND,19,3,2009,16.3219444,-16.3975
50252,preservedSpecimen,urn:mrbif:ens:hnm:50252,Maytenus senegalensis (Lam.) Exell,Celastraceae,KeurMacene,MR,HNM00091,Zbar cordon littoral,19,3,2009,16.3725,-16.5027778
50253,preservedSpecimen,urn:mrbif:ens:hnm:50253,Ipomoea,Convolvulaceae,KeurMacene,MR,HNM00092,zone de kahra,18,3,2009,16.2177778,-16.4861111
50254,preservedSpecimen,urn:mrbif:ens:hnm:50254,Cressa cretica L.,Convolvulaceae,KeurMacene,MR,HNM00093,prés du siege PND vers zira,18,3,2009,16.3219444,-16.3975
50255,preservedSpecimen,urn:mrbif:ens:hnm:50255,Arthrocnemum indicum,Chenopodiaceae,KeurMacene,MR,HNM00094,"PND, depression salèe sud de zira",18,3,2009,16.3219444,-16.3975
50256,preservedSpecimen,urn:mrbif:ens:hnm:50256,Bulbostylis lanifera (Boeck) Kük.,Cyperaceae,Kankossa,MR,HNM00095,kawre proche de karakoro,9,9,2008,15.9147222,-11.5458333
50257,preservedSpecimen,urn:mrbif:ens:hnm:50257,Bulbostylis lanifera (Boeck) Kük.,Cyperaceae,Kankossa,MR,HNM00096,"kaora, bord de la mare",9,9,2008,15.9144444,-11.5458333
50258,preservedSpecimen,urn:mrbif:ens:hnm:50258,Cornulaca monacantha Delile,Chenopodiaceae,Dakhlet Nouadhibou,MR,HNM00097,"Teychott(Tessot), Erg de l'Azeffal (PNBA)",5,9,2008,19.7894444,-16.2180556
50259,preservedSpecimen,urn:mrbif:ens:hnm:50259,Fuirena ciliaris (L.) Roxb.,Cyperaceae,Tektake,MR,HNM00098,Falaise de l'Assaba,10,9,2008,15.5880556,-11.9319444
50260,preservedSpecimen,urn:mrbif:ens:hnm:50260,Pycreus macrostachyos (Lam.) J. Raynal,Cyperaceae,Tektake,MR,HNM00099,Falaise de l'Assaba,10,9,2008,15.5880556,-11.9319444
50261,preservedSpecimen,urn:mrbif:ens:hnm:50261,Ipomoea eriocarpa R.Br.,Convolvulaceae,Ndoumelli,MR,HNM00100,Ndoumelli,10,9,2008,15.6977778,-11.7408333
50262,preservedSpecimen,urn:mrbif:ens:hnm:50262,Pennisetum violaceum (Lam.) Rich.,Gramineae,Tektake,MR,HNM00101,Tektake,10,9,2008,15.5744444,-11.9569444
50263,preservedSpecimen,urn:mrbif:ens:hnm:50263,Polycarpaea linearifolia (DC.) DC.,Caryophyllaceae,Ndoumelli,MR,HNM00102,Ndoumelli,10,9,2008,15.6977778,-11.7408333
50264,preservedSpecimen,urn:mrbif:ens:hnm:50264,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,KeurMacene,MR,HNM00103,PND,19,3,2009,16.3219444,-16.3975
50265,preservedSpecimen,urn:mrbif:ens:hnm:50265,Maytenus senegalensis (Lam.) Exell,Celastraceae,KeurMacene,MR,HNM00104,PND,19,3,2009,16.3205556,-16.3983333
50266,preservedSpecimen,urn:mrbif:ens:hnm:50266,Salicornia senegalensis A. Chev.,Chenopodiaceae,KeurMacene,MR,HNM00105,PND près d'Elghahra,19,3,2009,16.3219444,-16.3975
50267,preservedSpecimen,urn:mrbif:ens:hnm:50267,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Tintane,MR,HNM00106,Oum Liebaar (Fam Likhdheyratt),26,11,2007,16.311944,-10.166944
50268,preservedSpecimen,urn:mrbif:ens:hnm:50268,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Tintane,MR,HNM00107,Oum Liebaar (Fam Likhdheyratt),26,11,2007,16.311944,-10.166944
50269,preservedSpecimen,urn:mrbif:ens:hnm:50269,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Kobenni,MR,HNM00108,Touimratt,25,11,2007,15.817222,-9.365278
50270,preservedSpecimen,urn:mrbif:ens:hnm:50270,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Kobenni,MR,HNM00109,Touimratt,25,11,2007,15.817222,-9.365278
50271,preservedSpecimen,urn:mrbif:ens:hnm:50271,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Kobenni,MR,HNM00110,Touimratt,25,11,2007,15.817222,-9.365278
50272,preservedSpecimen,urn:mrbif:ens:hnm:50272,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Toulel,MR,HNM00111,Toulel,25,11,2007,15.2597222,-12.7994444
50273,preservedSpecimen,urn:mrbif:ens:hnm:50273,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Toulel,MR,HNM00112,Toulel,25,11,2007,15.2597222,-12.7994444
50274,preservedSpecimen,urn:mrbif:ens:hnm:50274,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Toulel,MR,HNM00113,Toulel,25,11,2007,15.2597222,-12.7994444
50275,preservedSpecimen,urn:mrbif:ens:hnm:50275,Cassia occidentalis L.,Leguminosae-Caesalpinioideae,Fimbo,MR,HNM00114,Fimbo,25,11,2007,15.4255556,-12.8838889
50276,preservedSpecimen,urn:mrbif:ens:hnm:50276,Cassia occidentalis L.,Leguminosae-Caesalpinioideae,Fimbo,MR,HNM00115,Fimbo,25,11,2007,15.4255556,-12.8838889
50277,preservedSpecimen,urn:mrbif:ens:hnm:50277,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Souckou,MR,HNM00116,Souckou,25,11,2007,15.0566667,-12.5575
50278,preservedSpecimen,urn:mrbif:ens:hnm:50278,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Souckou,MR,HNM00117,Souckou,25,11,2007,15.0566667,-12.5575
50279,preservedSpecimen,urn:mrbif:ens:hnm:50279,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Souckou,MR,HNM00118,Souckou,25,11,2007,15.0566667,-12.5575
50280,preservedSpecimen,urn:mrbif:ens:hnm:50280,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Souckou,MR,HNM00119,Souckou,25,11,2007,15.0566667,-12.5575
50281,preservedSpecimen,urn:mrbif:ens:hnm:50281,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Zouerate,MR,HNM00120,ouest de Zouérate,19,12,2009,22.7538889,-12.5155556
50282,preservedSpecimen,urn:mrbif:ens:hnm:50282,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Zouerate,MR,HNM00121,ouest de Zouérate,19,12,2009,22.7538889,-12.5155556
50283,preservedSpecimen,urn:mrbif:ens:hnm:50283,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Zouerate,MR,HNM00122,ouest de Zouérate,19,12,2009,22.7538889,-12.5155556
50284,preservedSpecimen,urn:mrbif:ens:hnm:50284,"Crataeva religiosa Forst, f,",Capparaceae,Selibaby,MR,HNM00123,oued Moudji,3,12,2009,15.0505556,-12.3122222
50285,preservedSpecimen,urn:mrbif:ens:hnm:50285,Capparis sepiaria L.,Capparaceae,Selibabi,MR,HNM00124,oued Moudji,3,12,2009,15.0502778,-12.3127778
50286,preservedSpecimen,urn:mrbif:ens:hnm:50286,Capparis sepiaria L.,Capparaceae,Selibabi,MR,HNM00125,oued Moudji,3,12,2009,15.0502778,-12.3127778
50287,preservedSpecimen,urn:mrbif:ens:hnm:50287,Capparis sepiaria L.,Capparaceae,Selibabi,MR,HNM00126,oued Moudji,3,12,2009,15.0502778,-12.3127778
50288,preservedSpecimen,urn:mrbif:ens:hnm:50288,Cassia tora L.,Leguminosae-Caesalpinioideae,Selibabi,MR,HNM00127,oued Moudji,3,12,2009,15.0502778,-12.3127778
50289,preservedSpecimen,urn:mrbif:ens:hnm:50289,Cassia tora L.,Leguminosae-Caesalpinioideae,Selibabi,MR,HNM00128,oued Moudji,3,12,2009,15.0502778,-12.3127778
50290,preservedSpecimen,urn:mrbif:ens:hnm:50290,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Selibaby,MR,HNM00129,Entre Ehl Mayt et Gorel Borel,3,12,2009,16.5333333,-12.2111111
50291,preservedSpecimen,urn:mrbif:ens:hnm:50291,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Selibaby,MR,HNM00130,Entre Ehl Mayt et Gorel Borel,3,12,2009,16.5333333,-12.2111111
50292,preservedSpecimen,urn:mrbif:ens:hnm:50292,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Selibaby,MR,HNM00131,Entre Ehl Mayt et Gorel Borel,3,12,2009,16.5333333,-12.2111111
50293,preservedSpecimen,urn:mrbif:ens:hnm:50293,Anogeissus leiocarpa (DC.) Guill. & Perr.,Combretaceae,Selibaby,MR,HNM00132,Kadjali vers Koumcoum,3,12,2009,15.3077778,-12.2230556
50294,preservedSpecimen,urn:mrbif:ens:hnm:50294,Anogeissus leiocarpa (DC.) Guill. & Perr.,Combretaceae,Selibaby,MR,HNM00133,Kadjali vers Koumcoum,3,12,2009,15.3077778,-12.2230556
50295,preservedSpecimen,urn:mrbif:ens:hnm:50295,Combretum glutinosum Perr. ex DC.,Combretaceae,Selibaby,MR,HNM00134,Environ de Semakandé,3,12,2009,14.9966667,-12.3158333
50296,preservedSpecimen,urn:mrbif:ens:hnm:50296,Guiera senegalensis J.F.Gmel.,Combretaceae,Selibaby,MR,HNM00135,Environ de Semakandé,3,12,2009,14.9966667,-12.3158333
50297,preservedSpecimen,urn:mrbif:ens:hnm:50297,Terminalia macroptera Guill. & Perr.,Combretaceae,Selibaby,MR,HNM00136,Bord oued Mouddi,3,12,2009,15.0502778,-12.3127778
50298,preservedSpecimen,urn:mrbif:ens:hnm:50298,Terminalia macroptera Guill. & Perr.,Combretaceae,Selibaby,MR,HNM00137,Bord oued Mouddi,3,12,2009,15.0502778,-12.3127778
50300,preservedSpecimen,urn:mrbif:ens:hnm:50300,Citrullus lanatus (Thunb.) Mansf.,Cucurbitaceae,Oumoul Kheuz,MR,HNM00138,Dar Edebaye,15,4,2008,17,-11
50301,preservedSpecimen,urn:mrbif:ens:hnm:50301,Citrullus lanatus (Thunb.) Mansf.,Cucurbitaceae,Oumoul Kheuz,MR,HNM00139,Dar Edebaye,15,4,2008,17,-11
