36,Mops condylurus,Smith,1833,Tadaride d'Angola,"Mops condylurus (A. Smith, 1833)",SPECIES,Molossidae,Mops condylurus,100,EXACT
37,Nycteris hispida,Schreber,1775,Nyctère hérissé,"Nycteris hispida (Schreber, 1775)",SPECIES,Nycteridae,Nycteris hispida,100,EXACT
38,Eidolon helvum,Kerr,1792,Roussette paillée africaine,"Eidolon helvum (Kerr, 1792)",SPECIES,Pteropodidae,Eidolon helvum,100,EXACT
39,Rhinopoma hardwickei,Gray,1831,Rhinopome à longue queue,"Rhinopoma hardwickei Gray, 1831",SPECIES,Rhinopomatidae,Rhinopoma hardwickei,100,EXACT
40,Rhinopoma microphyllum,Brünnich,1792,Grand rhinopome,"Rhinopoma microphyllum (Brünnich, 1782)",SPECIES,Rhinopomatidae,Rhinopoma microphyllum,100,EXACT
41,Eptesicus floweri,de Winton,1901,Sérotine de Flower,"Eptesicus floweri (De Winton, 1901)",SPECIES,Vespertilionidae,Eptesicus floweri,100,EXACT
42,Nycticeius schlieffeni,Peters,1859,Noctule de Schlieffen,"Nycticeius schlieffeni (Peters, 1859)",SPECIES,Vespertilionidae,Nycticeius schlieffeni,100,EXACT
43,Pipistrellus rueppelli,Fischer,1829,Pipistrelle de Rüeppel,"Pipistrellus rueppelli (J. Fischer, 1829)",SPECIES,Vespertilionidae,Pipistrellus rueppelli,99,EXACT
44,Scotophius leucogaste,Cretzschmar,1830,,,,,,100,NONE
45,Hippopotamus amphibius,Linnaeus,1758,Hippopotame amphibie,"Hippopotamus amphibius Linnaeus, 1758",SPECIES,Hippopotamidae,Hippopotamus amphibius,100,EXACT
46,Phacochoerus  africanus,Cuvier,1826,Phacochère,"Phacochoerus africanus (Gmelin, 1788)",SPECIES,Suidae,Phacochoerus africanus,100,EXACT
47,Tragelaphus scriptus,Pallas,1766,Guib harnaché,"Tragelaphus scriptus (Pallas, 1766)",SPECIES,Bovidae,Tragelaphus scriptus,100,EXACT
48,Gazella dorcas,Linnaeus,1758,Gazelle dorcade,"Gazella dorcas (Linnaeus, 1758)",SPECIES,Bovidae,Gazella dorcas,100,EXACT
