Fabaceae,Alysicarpus ,Alysicarpus ovalifolius ,(Schum.) J.Léonard,Alysicarpus ovalifolius (Schum.) Leonard,SPECIES,Fabaceae,Alysicarpus ovalifolius,100,EXACT
Fabaceae,Alysicarpus ,Alysicarpus rugosus ,(Willd.) DC.,Alysicarpus rugosus (Willd.) DC.,SPECIES,Fabaceae,Alysicarpus rugosus,100,EXACT
Fabaceae,Amphimas ,Amphimas pterocarpoides ,Harms,Amphimas pterocarpoides Harms,SPECIES,Fabaceae,Amphimas pterocarpoides,100,EXACT
Fabaceae,Arachis ,Arachis hypogaea, L.,Arachis hypogaea L.,SPECIES,Fabaceae,Arachis hypogaea,100,EXACT
Fabaceae,Aubrevillea,Aubrevillea kerstingii ,(Harms) Pellegr.,Aubrevillea kerstingii (Harms) Pellegr.,SPECIES,Fabaceae,Aubrevillea kerstingii,100,EXACT
Fabaceae,Baphia,Baphia nitida ,Lodd.,Baphia nitida Lodd.,SPECIES,Fabaceae,Baphia nitida,100,EXACT
Fabaceae,Baphia,Baphia pubescens ,Hook.f.,Baphia pubescens Hook.f.,SPECIES,Fabaceae,Baphia pubescens,100,EXACT
Fabaceae,Bauhinia ,Bauhinia acuminata ,L.,Bauhinia acuminata L.,SPECIES,Fabaceae,Bauhinia acuminata,100,EXACT
Fabaceae,Bauhinia ,Bauhinia monandra,Kurz.,Bauhinia monandra Kurz,SPECIES,Fabaceae,Bauhinia monandra,100,EXACT
Fabaceae,Bauhinia ,Bauhinia rufescens ,Lam.,Bauhinia rufescens Lam.,SPECIES,Fabaceae,Bauhinia rufescens,100,EXACT
Fabaceae,Bauhinia ,Bauhinia tomentosa ,L.,Bauhinia tomentosa L.,SPECIES,Fabaceae,Bauhinia tomentosa,100,EXACT
Fabaceae,Berlinia,Berlinia grandiflora ,(Vahl) Hutch. & Dalziel,Berlinia grandiflora (Vahl) Hutch. & Dalziel,SPECIES,Fabaceae,Berlinia grandiflora,100,EXACT
Fabaceae,Burkea ,Burkea africana, Benth.,Burkea africana Hook.,SPECIES,Fabaceae,Burkea africana,100,EXACT
Fabaceae,Burkea ,Burkea africana ,Hook.F.,Burkea africana Hook.,SPECIES,Fabaceae,Burkea africana,100,EXACT
Fabaceae,Cacia,Cacia surttensis ,N.L. Burman,"Cacia Newman, 1842",GENUS,Cerambycidae,Cacia,96,HIGHERRANK
