Famille	Genres	name	Auteurs déterminateurs
Fabaceae	Crotalaria	Crotalaria pallida Ait. var. obovata	 (G. Don) Polhill
Fabaceae	Crotalaria	Crotalaria perrottetii	 D.C.
Fabaceae	Crotalaria	Crotalaria polygaloides 	Welw. ex Baker
Fabaceae	Crotalaria	Crotalaria retusa 	L.
Fabaceae	Cynometra 	Cynometra megalophylla 	Harms
Fabaceae	Dalbergia	Dalbergia oblongifolia 	G. Don
Fabaceae	Dalbergia	Dalbergia rufa 	G. Don
Fabaceae	Dalbergia 	Dalbergia afzeliana 	D.Don
Fabaceae	Dalbergia 	Dalbergia bignonae 	Berhaut
Fabaceae	Dalbergia 	Dalbergia dalzielii 	Baker f.
Fabaceae	Dalbergia 	Dalbergia ecastaphyllum 	(L.) Taub.
Fabaceae	Dalbergia 	Dalbergia hostilis 	Benth.
Fabaceae	Dalbergia 	Dalbergia saxatilis 	Hook. f.
Fabaceae	Dalbergia 	Dalbergia sissoo 	Roxb.
Fabaceae	Dalbergiella	Dalbergiella welwitschii 	(Bak.)Bak.F.
Fabaceae	Daniellia	Daniellia oliveri	 (Rolfe) Hutch. & Dalziel
Fabaceae	Daniellia 	Daniellia ogea 	(Harms) Rolfe ex Holl
Fabaceae	Daniellia 	Daniellia thurifera  	Benn
Fabaceae	Delonix	Delonix regia	( Boj. Ex Hook.) Raf.
Fabaceae	Desmodium	Desmodium distortum 	(Aubl.) JF Macbr.
Fabaceae	Desmodium 	Desmodium adscendens (Sw.) DC. var. adscendens	
Fabaceae	Desmodium 	Desmodium canum 	(J.F.Gmel.) Schum. & Thonn.
Fabaceae	Desmodium 	Desmodium gangeticum (L.) DC. var. maculatum	 (L.) Bak.
Fabaceae	Desmodium 	Desmodium hirtum 	Guill. & Perr.
Fabaceae	Desmodium 	Desmodium ramosissimum 	G.Don
Fabaceae	Desmodium 	Desmodium salicifolium 	(Poir.) DC.
Fabaceae	Desmodium 	Desmodium scorpiurus 	(Sw.) DC.
Fabaceae	Desmodium 	Desmodium tortuosum 	(Sw.) DC.
Fabaceae	Desmodium 	Desmodium triflorum 	(L.) DC.
Fabaceae	Desmodium 	Desmodium velutinum	 (Willd.) DC.
Fabaceae	Detarium	Detarium senegalense 	JL Gmel.
Fabaceae	Detarium 	Detarium microcarpum 	Guill. & Perr.
Fabaceae	Dialium	Dialium guineense 	Willd.
Fabaceae	Dichrostachys	Dichrostachys cinerea 	(L.) Wight& Am. Subsp. Cinerea
Fabaceae	Dichrostachys 	Dichrostachys cinerea 	(L.) Wight & Arn.
Fabaceae	Dioclea	Dioclea reflexa 	Hook.f.
Fabaceae	Distemonanthus	Distemonanthus benthamianus 	Baill.
Fabaceae	Dolichos 	Dolichos grandistipulatus 	Harms
Fabaceae	Drepanocarpus	Drepanocarpus lunatus 	(L.f.) G.Mey.
Fabaceae	Entada 	Entada mannii 	(Oliv.) Tisserant
Fabaceae	Entada 	Entada rheedei 	Spreng.
Fabaceae	Entada 	Entada abyssinica 	Steud. ex A.Rich.
Fabaceae	Entada 	Entada africana 	Guill. & Perr.
Fabaceae	Entada 	Entada wahlbergii 	Harv.
Fabaceae	Eriosema	Eriosema pulcherrimum 	Taub.
Fabaceae	Eriosema	Eriosema andohii 	Milne-Redh.
Fabaceae	Eriosema	Eriosema chrysadenium 	Taub.
Fabaceae	Eriosema	Eriosema glomeratum 	(Guill. & Perr.) Hook.f.
Fabaceae	Eriosema	Eriosema griseum 	Bak.
Fabaceae	Eriosema	Eriosema molle 	Hutch. ex Milne-Redhead
Fabaceae	Eriosema	Eriosema monticolum 	Taub.
Fabaceae	Eriosema	Eriosema parviflorum 	E.Mey. subsp. parviflorum
Fabaceae	Eriosema	Eriosema psoraleoides 	(Lam.) G.Don
Fabaceae	Erythrina	Erythrina indica 	Lam.
Fabaceae	Erythrina	Erythrina sigmoida 	Hua.
Fabaceae	Erythrina	Erythrina senegalensis 	A. DC.
Fabaceae	Erythrophleum 	Erythrophleum suaveolens 	(Guill. & Perr.) Brenan
Fabaceae	Flemingia	Flemingia macrophylla 	(Willd.) Merr
Fabaceae	Flemingia	Flemingia faginea 	(Guill. & Perr.) Bak.
Fabaceae	Galactia	Galactia tenuiflora	 (Willd.) Wight & Arn.
Fabaceae	Gliricidia	Gliricidia sepium 	(Jacq.) Walp.
Fabaceae	Glycine	Glycine wightii (Wight & Arn.) Verdc. subsp. pseudojavanica 	(Taub.) Verdc.
Fabaceae	Glycine 	Glycine hispida 	Maxime
Fabaceae	Griffonia	Griffonia simplicifolia 	Vahl ex DC.
Fabaceae	Hymenaea 	Hymenaea courbaril 	L.
Fabaceae	Hymenostegia	Hymenostegia afzelii 	(Oliv.) Harms
Fabaceae	Indigofera	Indigofera diphylla 	Vent.
Fabaceae	Indigofera	Indigofera fulvopilosa 	Brenan
Fabaceae	Indigofera	Indigofera oblongifolia	Forssk.
Fabaceae	Indigofera	Indigofera pilosa 	Poir
Fabaceae	Indigofera 	Indigofera bracteolata 	DC.
Fabaceae	Indigofera 	Indigofera capitata 	Kotschy
Fabaceae	Indigofera 	Indigofera colutea	(Burm.f.) Merr.
Fabaceae	Indigofera 	Indigofera congolensis	De Wild. & T. Durand
Fabaceae	Indigofera 	Indigofera conjugata 	Bak.
Fabaceae	Indigofera 	Indigofera dendroides 	Jacq.
Fabaceae	Indigofera 	Indigofera garckeana 	Vatke
Fabaceae	Indigofera 	Indigofera geminata 	Bak.
Fabaceae	Indigofera 	Indigofera heudelotii 	Benth. ex Baker
Fabaceae	Indigofera 	Indigofera hirsuta 	L.
Fabaceae	Indigofera 	Indigofera kerstingii 	Harms
Fabaceae	Indigofera 	Indigofera leprieurii 	Bak. f.
Fabaceae	Indigofera 	Indigofera macrophylla 	Schum.
Fabaceae	Indigofera 	Indigofera nigritana 	Hook. f.
Fabaceae	Indigofera 	Indigofera nummulariifolia 	(L.) Livera ex Alston
Fabaceae	Indigofera 	Indigofera omissa 	J.B.Gillet
Fabaceae	Indigofera 	Indigofera paniculata 	Vahl
Fabaceae	Indigofera 	Indigofera polysphaera 	Bak.
Fabaceae	Indigofera 	Indigofera pulchra 	Willd.
Fabaceae	Indigofera 	Indigofera rhynchocarpa 	Welw.
Fabaceae	Indigofera 	Indigofera secundiflora 	Poir.
Fabaceae	Indigofera 	Indigofera simplicifolia 	Guill. & Perr.
Fabaceae	Indigofera 	Indigofera spicata Forssk. var. brevicarpa 	Gillett (var. nov. ined.)
Fabaceae	Indigofera 	Indigofera tetrasperma 	Vahl ex Pers.
Fabaceae	Indigofera 	Indigofera tinctoria 	L.
Fabaceae	Indigofera 	Indigofera trialata 	A. Chev.
Fabaceae	Indigofera 	Indigofera trita L.f. var. subulata 	(Poir.) Ali
Fabaceae	Isoberlinia 	Isoberlinia doka 	Craib & Stapf
Fabaceae	Isoberlinia 	Isoberlinia tomentosa 	(Harms) Craib & Stapf
Fabaceae	Kotschya 	Kotschya ochreata 	(Taub.) Dewit & Duvign.
Fabaceae	Lablab 	Lablab niger 	L.W.Medicus
Fabaceae	Leptoderris	Leptoderris fasciculata	(Benth.) Dunn
Fabaceae	Leptoderris	Leptoderris brachyptera 	(Benth.) Dunn
Fabaceae	Leucaena	Leucaena glauca 	sensu Keay
Fabaceae	Lonchocarpus	Lonchocarpus cyanescens 	(Schum. & Thonn.) Benth.
Fabaceae	Lonchocarpus	Lonchocarpus laxiflorus 	Guill. & Perr.
Fabaceae	Lonchocarpus	Lonchocarpus sericeus 	(Poir.) Kunth
Fabaceae	Macrotyloma 	Macrotyloma axillare 	(E.Mey) Verdc.
Fabaceae	Macrotyloma 	Macrotyloma geocarpum 	(Harms) Maréchal & Baudet
Fabaceae	Macrotyloma 	Macrotyloma tenuiflorum 	(Micheli) Verdc.
Fabaceae	Melliniella 	Melliniella micrantha 	Harms
Fabaceae	Millettia	Millettia barteri 	(Benth.) Dunn
Fabaceae	Millettia	Millettia chrysophylla Dunn	Dunn
Fabaceae	Millettia	Millettia warneckei 	Harms
Fabaceae	Millettia	Millettia zechiana 	Harms
Fabaceae	Mimosa	Mimosa pudica 	L.
Fabaceae	Mimosa	Mimosa invisa 	Mart.
Fabaceae	Mimosa	Mimosa invisa Mart. ex Colla var. inermis 	Adelb.
Fabaceae	Mimosa	Mimosa pigra 	L.
Fabaceae	Mucuna	Mucuna poggei 	Taub.
Fabaceae	Mucuna	Mucuna poggei Taub. var. occidentalis 	Hepper
Fabaceae	Mucuna	Mucuna pruriens (L.) DC. var. pruriens	
Fabaceae	Neptunia 	Neptunia oleracea 	Lam.
