,Ardeidae,Egretta gularis,,"Egretta gularis (Bosc, 1792)",SPECIES,Ardeidae,Egretta gularis,100,EXACT
,Ardeidae,Ardea cinerea ,,"Ardea cinerea Linnaeus, 1758",SPECIES,Ardeidae,Ardea cinerea,100,EXACT
,Ardeidae,Ardea purpurea,,"Ardea purpurea Linnaeus, 1766",SPECIES,Ardeidae,Ardea purpurea,100,EXACT
,Ciconiidae,Mycteria ibis,,"Mycteria ibis (Linnaeus, 1766)",SPECIES,Ciconiidae,Mycteria ibis,100,EXACT
,Ciconiidae,Ciconia nigra,,"Ciconia nigra (Linnaeus, 1758)",SPECIES,Ciconiidae,Ciconia nigra,100,EXACT
,Ciconiidae,Ciconia ciconia,,"Ciconia ciconia (Linnaeus, 1758)",SPECIES,Ciconiidae,Ciconia ciconia,100,EXACT
,Treskiornithidae,Platalea leucorodia ,,"Platalea leucorodia Linnaeus, 1758",SPECIES,Threskiornithidae,Platalea leucorodia,100,EXACT
,Treskiornithidae,Platalea alba,,"Platalea alba Scopoli, 1786",SPECIES,Threskiornithidae,Platalea alba,100,EXACT
,Treskiornithidae,Threskiornis aethiopicus,,"Threskiornis aethiopicus (Latham, 1790)",SPECIES,Threskiornithidae,Threskiornis aethiopicus,100,EXACT
,Treskiornithidae,Plegadis falcinellus,,"Plegadis falcinellus (Linnaeus, 1766)",SPECIES,Threskiornithidae,Plegadis falcinellus,100,EXACT
,Phoenicopteridae,Phenicopterus ruber,,"Phoenicopterus ruber Linnaeus, 1758",SPECIES,Phoenicopteridae,Phoenicopterus ruber,91,FUZZY
,Phoenicopteridae,Phenicopterus minor,,"Phoenicopterus minor E. Geoffroy Saint-Hilaire, 1798",SPECIES,Phoenicopteridae,Phoenicopterus minor,91,FUZZY
,Anatidae,Anas acuta,,"Anas acuta Linnaeus, 1758",SPECIES,Anatidae,Anas acuta,100,EXACT
,Anatidae,Anas querquedula,,"Anas querquedula Linnaeus, 1758",SPECIES,Anatidae,Anas querquedula,100,EXACT
,Anatidae,Anas clypeata,,"Anas clypeata Linnaeus, 1758",SPECIES,Anatidae,Anas clypeata,100,EXACT
,Anatidae,Anas bicolor,,"Anas bicolor Vieillot, 1816",SPECIES,Anatidae,Anas bicolor,100,EXACT
,Anatidae,Dendrocygna viduata,,"Dendrocygna viduata (Linnaeus, 1766)",SPECIES,Anatidae,Dendrocygna viduata,100,EXACT
,Anatidae,Plectropterus gambensis,,"Plectropterus gambensis (Linnaeus, 1766)",SPECIES,Anatidae,Plectropterus gambensis,100,EXACT
,Anatidae,Sarkidiornis melanotos,,"Sarkidiornis melanotos (Pennant, 1769)",SPECIES,Anatidae,Sarkidiornis melanotos,100,EXACT
,Anatidae,Alopochen aegyptiacus,,"Alopochen aegyptiacus (Linnaeus, 1766)",SPECIES,Anatidae,Alopochen aegyptiacus,99,EXACT
,Anatidae,Nettapus auritus,,"Nettapus auritus (Boddaert, 1783)",SPECIES,Anatidae,Nettapus auritus,100,EXACT
,Burhinidae,Burhinus senegalensis,,"Burhinus senegalensis (Swainson, 1837)",SPECIES,Burhinidae,Burhinus senegalensis,100,EXACT
,Burhinidae,Burhinus capensis,,"Burhinus capensis (Lichtenstein, 1823)",SPECIES,Burhinidae,Burhinus capensis,100,EXACT
,Charadriidae,Vanellus spinosus,,"Vanellus spinosus (Linnaeus, 1758)",SPECIES,Charadriidae,Vanellus spinosus,100,EXACT
,Charadriidae,Charadrius hiaticula,,"Charadrius hiaticula Linnaeus, 1758",SPECIES,Charadriidae,Charadrius hiaticula,100,EXACT
,Charadriidae,Charadrius dubius,,"Charadrius dubius Scopoli, 1786",SPECIES,Charadriidae,Charadrius dubius,100,EXACT
,Charadriidae,Charadrius alexandrinus,,"Charadrius alexandrinus Linnaeus, 1758",SPECIES,Charadriidae,Charadrius alexandrinus,100,EXACT
,Charadriidae,Vanellus senegalensis,,,,,,100,NONE
,Scolopaciddae,Numenius phaeopus,,"Numenius phaeopus (Linnaeus, 1758)",SPECIES,Scolopacidae,Numenius phaeopus,99,EXACT
,Scolopaciddae,Numenius arquata,,"Numenius arquata (Linnaeus, 1758)",SPECIES,Scolopacidae,Numenius arquata,100,EXACT
,Scolopaciddae,Limosa limosa,,"Limosa limosa (Linnaeus, 1758)",SPECIES,Scolopacidae,Limosa limosa,100,EXACT
,Scolopaciddae,Limosa lapponica,,"Limosa lapponica (Linnaeus, 1758)",SPECIES,Scolopacidae,Limosa lapponica,100,EXACT
,Scolopaciddae,Tringa nebularia,,"Tringa nebularia (Gunnerus, 1767)",SPECIES,Scolopacidae,Tringa nebularia,100,EXACT
,Scolopaciddae,Tringa stagnatilis,,"Tringa stagnatilis (Bechstein, 1803)",SPECIES,Scolopacidae,Tringa stagnatilis,100,EXACT
,Scolopaciddae,Tringa glareola,,"Tringa glareola Linnaeus, 1758",SPECIES,Scolopacidae,Tringa glareola,100,EXACT
,Scolopaciddae,Tringa ochropus,,"Tringa ochropus Linnaeus, 1758",SPECIES,Scolopacidae,Tringa ochropus,100,EXACT
,Scolopaciddae,Tringa hypoleucos,,"Tringa hypoleucos Linnaeus, 1758",SPECIES,Scolopacidae,Tringa hypoleucos,100,EXACT
,Scolopaciddae,Tringa totanus,,"Tringa totanus (Linnaeus, 1758)",SPECIES,Scolopacidae,Tringa totanus,100,EXACT
,Scolopaciddae,Tringa erythropus,,"Tringa erythropus (Pallas, 1764)",SPECIES,Scolopacidae,Tringa erythropus,100,EXACT
,Scolopaciddae,Arenaria interpres,,"Arenaria interpres (Linnaeus, 1758)",SPECIES,Scolopacidae,Arenaria interpres,100,EXACT
,Scolopaciddae,Gallinago gallinago,,"Gallinago gallinago (Linnaeus, 1758)",SPECIES,Scolopacidae,Gallinago gallinago,100,EXACT
,Scolopaciddae,Calidris canutus,,"Calidris canutus (Linnaeus, 1758)",SPECIES,Scolopacidae,Calidris canutus,100,EXACT
,Scolopaciddae,Calidris alpina,,"Calidris alpina (Linnaeus, 1758)",SPECIES,Scolopacidae,Calidris alpina,100,EXACT
