34,SCINCIDAE,"Scincopus fasciatus Peters, 1864","Scincopus fasciatus Peters, 1864",SPECIES,Scincidae,Scincopus fasciatus,100,EXACT
35,SCINCIDAE,"Scincus albifasciatus Boulenger, 1890","Scincus Laurenti, 1768",GENUS,Scincidae,Scincus,96,HIGHERRANK
36,SCINCIDAE,"Sphenops delislii (Lataste, 1876)","Sphenops delislei Lataste, 1876",SPECIES,Scincidae,Sphenops delislei,95,FUZZY
37,SCINCIDAE,"Sphenops sphenopsiformis (Duméril, 1856)","Sphenops sphenopsiformis Duméril, 1856",SPECIES,Scincidae,Sphenops sphenopsiformis,100,EXACT
38,SCINCIDAE,"Trachylepis perrotetii (Duméril & Bibron, 1839)","Trachylepis perrotetii Duméril & Bibron, 1839",SPECIES,Scincidae,Trachylepis perrotetii,100,EXACT
39,VARANIDAE,"Varanus exanthematicus (Bosc, 1792)","Varanus exanthematicus Bosc, 1792",SPECIES,Varanidae,Varanus exanthematicus,100,EXACT
40,VARANIDAE,"Varanus griseus (Daudin, 1803)","Varanus griseus Daudin, 1803",SPECIES,Varanidae,Varanus griseus,100,EXACT
41,VARANIDAE,"Varanus niloticus Linnaeus, 1766","Varanus niloticus Linnaeus, 1758",SPECIES,Varanidae,Varanus niloticus,100,EXACT
42,LEPTOTYPHLOPIDAE,"Leptotyphlops algeriensis (Jaquet, 1896)","Leptotyphlops algeriensis Jacquet, 1895",SPECIES,Leptotyphlopidae,Leptotyphlops algeriensis,100,EXACT
43,LEPTOTYPHLOPIDAE,"Leptotyphlops boueti (Chabanaud, 1917)","Leptotyphlops boueti Chabanaud, 1917",SPECIES,Leptotyphlopidae,Leptotyphlops boueti,100,EXACT
44,LEPTOTYPHLOPIDAE,"Leptotyphlops cairi (Dumeril & Bribon, 1844)","Leptotyphlops cairi Duméril & Bibron, 1844",SPECIES,Leptotyphlopidae,Leptotyphlops cairi,100,EXACT
45,TYPHLOPIDAE,"Typhlops etheridgei Wallach, 2002","Typhlops etheridgei Wallach, 2002",SPECIES,Typhlopidae,Typhlops etheridgei,100,EXACT
46,BOIDAE,"Gongylophis muelleri Boulenger, 1892","Gongylophis muelleri Boulenger, 1892",SPECIES,Boidae,Gongylophis muelleri,100,EXACT
47,ATRACTASPIDIDAE,"Atractaspis microlepidota Günther, 1866","Atractaspis microlepidota Günther, 1866",SPECIES,Atractaspididae,Atractaspis microlepidota,100,EXACT
48,ATRACTASPIDIDAE,"Atractaspis micropholis Gunther, 1872","Atractaspis micropholis Günther, 1872",SPECIES,Atractaspididae,Atractaspis micropholis,100,EXACT
49,COLUBRIDAE,"Hemorrhois algirus (Jan, 1863)","Hemorrhois algirus Jan, 1863",SPECIES,Colubridae,Hemorrhois algirus,100,EXACT
50,COLUBRIDAE,"Hemorrhois dorri (Lataste, 1888)","Haemorrhois dorri Trape, 2002",SPECIES,Colubridae,Haemorrhois dorri,94,FUZZY
51,COLUBRIDAE,"Dasypeltis scabra (Linnaeus, 1759)","Dasypeltis scabra Linnaeus, 1758",SPECIES,Colubridae,Dasypeltis scabra,100,EXACT
52,COLUBRIDAE,"Lamprophis fuliginosus (Boié, 1827)","Lamprophis fuliginosus Boie, 1827",SPECIES,Colubridae,Lamprophis fuliginosus,100,EXACT
53,COLUBRIDAE,"Lytorhynchus diadema (Duméril, Bibron & Duméril, 1854)","Lytorhynchus diadema Duméril, Bibron & Duméril, 1854",SPECIES,Colubridae,Lytorhynchus diadema,100,EXACT
54,COLUBRIDAE,"Prosymna meleagris (Reinhardt, 1843)","Prosymna meleagris Reinhardt, 1843",SPECIES,Colubridae,Prosymna meleagris,100,EXACT
