id;family;name
1;Bufonidae;Bufo pentoni
2;Bufonidae;Amietophrynus regularis
3;Bufonidae;Amietophrynus xeros
4;Dicroglossidae;Hoplobatrachus occipitalis
5;Hyperoliidae;Kassina senegalensis
6;Phrynobatrachidae;Phrynobatrachus natalensis
7;Ptychadenidae;Ptychadena bibroni
8;Ptychadenidae;Ptychadena mascareniensis
9;Ptychadenidae;Ptychadena trinodis
10;Pyxicephalidae;Pyxicephalus edulis
11;Pyxicephalidae;Tomopterna cryptotis
